incident_i,engine_area_c,exposure_c,incident_type_c,property_use_c,detector_c,structure_stat_c,cinjury_c,cfatal_c,finjury_c,ffatal_c,call_month_c,call_day_c,call_hour_c,dispatch_n,arrival_n,clear_n
102,30,0,700,7,0,0,0,0,0,0,1,2,16,102,299,543
103,33,0,600,1,0,0,0,0,0,0,1,2,16,81,588,1097
104,32,0,700,1,0,0,0,0,0,0,1,2,16,116,350,661
105,52,0,111,16,0,2,0,0,0,0,1,2,17,111,441,851
106,30,0,111,1,0,1,0,0,0,0,1,2,17,103,354,3197
107,40,0,600,7,0,0,0,0,0,0,1,2,18,398,553,1369
108,44,0,118,22,1,0,0,0,0,0,1,2,18,112,333,1083
109,55,0,745,1,0,0,0,0,0,0,1,2,19,149,424,480
110,52,0,745,24,0,0,0,0,0,0,1,2,20,116,493,499
111,44,0,111,1,0,2,0,0,0,0,1,2,20,120,270,7630
112,44,0,600,1,0,0,0,0,0,0,1,2,20,156,953,1040
113,33,0,150,0,0,0,0,0,0,0,1,2,21,121,468,1002
114,51,0,111,1,0,5,0,0,0,0,1,2,21,149,428,5747
115,32,0,600,1,0,0,0,0,0,0,1,2,22,117,329,1242
116,51,0,700,6,0,0,0,0,0,0,1,2,22,209,884,1113
117,41,0,111,1,0,1,0,0,0,0,1,2,22,150,458,802
118,54,0,745,0,0,0,0,0,0,0,1,2,22,102,444,3171
119,52,0,600,16,0,0,0,0,0,0,1,2,23,40,296,346
120,50,0,130,7,0,0,0,0,0,0,1,2,23,29,292,1140
121,41,0,111,1,0,2,0,0,0,0,1,2,23,114,299,4320
122,42,0,111,17,0,2,0,0,0,0,1,2,23,129,510,4411
123,17,0,130,18,0,0,0,0,0,0,1,2,23,73,365,1552
124,1,0,111,0,0,1,0,0,0,0,1,2,23,157,192,10372
125,56,0,150,13,0,0,0,0,0,0,1,3,0,585,881,1861
126,17,0,745,0,0,0,0,0,0,0,1,3,0,242,778,825
127,40,1,111,1,0,4,0,0,0,0,1,3,0,384,1344,4224
128,40,0,111,1,0,4,0,0,0,0,1,3,0,201,509,5822
129,40,0,700,1,0,0,0,0,0,0,1,3,0,470,895,951
130,52,0,111,16,0,3,0,0,0,0,1,3,0,227,501,2775
131,17,0,111,1,0,0,0,0,0,0,1,3,0,235,353,2727
132,56,0,745,26,0,0,0,0,0,0,1,3,1,132,495,861
133,33,0,111,1,0,5,0,0,0,0,1,3,1,124,495,6862
134,42,0,651,1,0,0,0,0,0,0,1,3,1,333,827,1189
135,56,0,745,26,0,0,0,0,0,0,1,3,2,199,586,684
136,33,0,111,27,0,1,0,0,0,0,1,3,2,208,537,3674
137,39,0,700,17,0,1,1,0,0,0,1,3,2,166,418,1839
138,9,0,220,7,0,0,0,0,0,0,1,3,3,111,860,1371
139,51,0,551,1,0,0,0,0,0,0,1,3,3,83,396,710
140,51,0,111,1,0,2,0,0,0,0,1,3,6,81,379,5445
141,55,0,111,1,0,1,0,0,0,0,1,3,6,118,448,2183
142,52,0,400,16,0,0,0,0,0,0,1,3,6,114,409,809
143,40,0,118,17,3,0,0,0,0,0,1,3,6,119,489,2514
144,55,0,150,6,0,0,0,0,0,0,1,3,7,128,514,3349
145,42,1,100,17,0,0,0,0,0,0,1,3,7,57,320,3094
146,42,0,111,27,0,2,0,0,0,0,1,3,7,57,320,3094
147,42,0,600,7,0,0,0,0,0,0,1,3,7,51,495,719
148,52,0,400,16,0,0,0,0,0,0,1,3,8,104,235,550
149,41,0,150,6,0,0,0,0,0,0,1,3,8,14,23,1126
150,41,0,111,1,0,4,0,0,0,0,1,3,8,128,508,2195
151,34,0,411,7,0,0,0,0,0,0,1,3,9,92,452,725
152,60,0,111,1,0,1,0,0,0,0,1,3,10,100,351,2333
153,52,0,111,16,0,2,0,0,0,0,1,3,10,60,409,3291
154,30,0,745,1,0,0,0,0,0,0,1,3,11,177,621,744
155,44,0,240,1,0,0,0,0,0,0,1,3,13,185,507,2291
156,56,0,745,1,0,0,0,0,0,0,1,3,13,166,587,933
157,17,0,700,0,0,0,0,0,0,0,1,3,14,289,647,785
158,53,0,745,1,0,0,0,0,0,0,1,3,15,60,401,453
159,57,0,420,1,0,0,0,0,0,0,1,3,15,74,581,1283
160,33,0,600,27,0,0,0,0,0,0,1,3,16,119,322,386
161,54,0,700,1,0,0,0,0,0,0,1,3,16,83,173,185
162,40,0,700,1,0,0,0,0,0,0,1,3,17,60,359,364
163,56,0,444,1,0,0,0,0,0,0,1,3,17,91,497,1177
164,33,0,130,7,0,0,0,0,0,0,1,3,17,141,455,1248
165,46,0,444,9,0,0,0,0,0,0,1,3,18,318,863,1041
166,58,0,111,1,0,2,0,0,0,0,1,3,18,111,304,2281
167,46,0,445,6,0,0,0,0,0,0,1,3,18,115,488,835
168,32,0,600,1,0,0,0,0,0,0,1,3,18,90,322,509
169,55,0,700,1,0,0,0,0,0,0,1,3,19,121,449,1119
170,27,0,130,6,0,0,0,0,0,0,1,3,19,94,379,1698
171,55,0,700,1,0,0,0,0,0,0,1,3,19,85,317,436
172,53,0,445,1,0,0,0,0,0,0,1,3,20,63,409,542
173,44,0,130,3,0,0,1,0,0,0,1,3,21,33,236,1975
174,39,0,700,1,0,0,0,0,0,0,1,3,22,123,384,464
175,52,0,600,1,0,0,0,0,0,0,1,3,22,60,301,441
176,51,0,745,1,0,0,0,0,0,0,1,3,22,191,753,849
177,39,0,600,1,0,0,0,0,0,0,1,3,22,206,539,1401
178,60,0,151,6,0,0,0,0,0,0,1,3,23,75,304,569
179,17,0,600,25,0,0,0,0,0,0,1,3,23,6,628,777
180,52,0,745,1,0,0,0,0,0,0,1,4,0,148,519,543
181,56,0,411,9,0,0,0,0,0,0,1,4,0,0,0,0
182,32,0,111,1,0,2,0,0,0,0,1,4,0,59,484,4608
183,41,0,700,25,0,0,0,0,0,0,1,4,1,180,564,855
184,59,0,111,9,0,0,0,0,0,0,1,4,1,82,336,3379
185,1,0,411,29,0,0,0,0,0,0,1,4,1,111,474,867
186,33,0,111,1,0,2,0,0,0,0,1,4,2,75,424,4386
187,41,0,111,1,0,1,0,0,0,0,1,4,2,112,325,3715
188,57,0,111,1,0,2,0,0,0,0,1,4,2,144,275,4668
189,41,0,130,13,0,0,0,0,0,0,1,4,2,66,535,1797
190,9,0,411,3,0,0,0,0,0,0,1,4,3,136,610,1080
191,30,0,700,28,0,0,0,0,0,0,1,4,3,34,314,505
192,53,0,444,1,0,0,0,0,0,0,1,4,8,99,492,1052
193,30,0,444,31,0,0,0,0,0,0,1,4,8,97,428,2572
194,40,0,651,1,0,0,0,0,0,0,1,4,8,105,415,1751
195,46,0,733,22,0,0,0,0,0,0,1,4,9,221,756,1547
196,41,0,111,1,0,3,0,0,0,0,1,4,9,83,597,1973
197,39,0,240,1,0,0,0,0,0,0,1,4,10,93,479,2390
198,59,0,551,1,0,0,0,0,0,0,1,4,12,83,344,809
199,40,0,115,6,1,0,0,0,0,0,1,4,12,126,398,1408
200,27,0,130,3,0,0,0,0,0,0,1,4,13,86,318,1559
201,46,0,700,1,0,0,0,0,0,0,1,4,13,92,274,353
202,54,0,600,0,0,0,0,0,0,0,1,4,14,82,386,927
203,51,0,441,1,0,0,0,0,0,0,1,4,15,87,480,902
204,40,0,111,1,0,5,0,0,0,0,1,4,16,95,365,6858
205,42,0,130,30,0,0,0,0,0,0,1,4,16,62,340,1782
206,51,0,700,1,0,0,0,0,0,0,1,4,16,52,623,628
207,33,0,123,1,0,1,0,0,0,0,1,4,17,142,224,5621
208,32,0,700,1,0,0,0,0,0,0,1,4,17,127,545,1078
209,57,0,151,15,0,0,0,0,0,0,1,4,19,151,593,1176
210,44,0,111,22,0,2,0,0,0,0,1,4,19,123,323,1232
211,59,0,745,1,0,0,0,0,0,0,1,4,20,79,442,464
212,42,0,111,1,0,1,0,0,0,0,1,4,20,103,479,2450
213,30,0,111,1,3,1,0,0,0,0,1,4,20,73,409,4962
214,41,0,652,1,0,0,0,0,0,0,1,4,21,92,625,1228
215,39,0,700,6,0,0,0,0,0,0,1,4,22,86,484,610
216,55,0,600,0,0,0,0,0,0,0,1,4,22,166,479,1279
217,42,0,700,7,0,0,0,0,0,0,1,4,22,59,586,961
218,40,0,700,7,0,0,0,0,0,0,1,4,22,76,296,577
219,42,0,440,1,0,0,0,0,0,0,1,4,23,157,750,2264
220,39,0,444,7,0,0,0,0,0,0,1,4,23,74,369,4718
221,39,0,600,28,0,0,0,0,0,0,1,4,23,118,419,5576
222,60,0,130,17,1,0,0,1,0,0,1,5,1,209,883,2440
223,55,0,600,0,0,0,0,0,0,0,1,5,1,135,428,2609
224,51,0,111,1,0,1,0,0,0,0,1,5,2,61,408,3879
225,39,0,440,1,0,0,0,0,0,0,1,5,3,109,409,1586
226,52,0,745,9,0,0,0,0,0,0,1,5,3,143,467,702
227,60,0,900,5,0,0,0,0,0,0,1,5,4,109,517,560
228,44,0,700,1,0,0,0,0,0,0,1,5,5,45,325,526
229,48,0,745,1,0,0,0,0,0,0,1,5,6,93,452,531
230,44,0,700,1,0,0,0,0,0,0,1,5,6,89,335,412
231,39,0,445,7,0,0,0,0,0,0,1,5,6,113,540,818
232,57,0,130,7,0,0,0,0,0,0,1,5,7,96,347,1229
233,1,0,700,34,0,0,0,0,0,0,1,5,7,9,354,462
234,44,0,745,1,0,0,0,0,0,0,1,5,8,132,441,445
235,44,0,111,1,0,3,0,0,0,0,1,5,8,123,391,1201
236,40,0,745,1,0,0,0,0,0,0,1,5,9,101,469,645
237,59,0,444,6,0,0,0,0,0,0,1,5,9,71,470,2128
238,60,0,444,3,0,0,0,0,0,0,1,5,9,89,574,1799
239,44,0,712,32,0,0,0,0,0,0,1,5,10,258,470,608
240,60,0,700,1,0,0,0,0,0,0,1,5,10,18,70,76
241,44,0,111,1,0,4,0,0,0,0,1,5,11,255,578,13685
242,1,0,700,2,0,0,0,0,0,0,1,5,11,11,241,267
243,52,0,600,24,0,0,0,0,0,0,1,5,11,70,95,122
244,1,0,745,0,0,0,0,0,0,0,1,5,12,128,300,831
245,52,0,745,1,0,0,0,0,0,0,1,5,12,73,298,385
246,55,0,111,1,0,1,0,0,0,0,1,5,12,117,349,3202
247,56,0,745,33,0,0,0,0,0,0,1,5,13,151,530,619
248,54,0,444,7,0,0,0,0,0,0,1,5,14,126,515,1484
249,51,0,745,17,0,0,0,0,0,0,1,5,15,138,499,793
250,9,0,131,6,0,0,0,0,0,0,1,5,15,116,531,1748
251,44,0,111,1,0,4,0,0,0,0,1,5,15,156,485,931
252,30,0,651,1,0,0,0,0,0,0,1,5,16,100,503,668
253,27,0,700,1,0,0,0,0,0,0,1,5,17,82,599,1154
254,58,0,651,1,0,0,0,0,0,0,1,5,17,204,405,770
255,30,0,740,12,0,0,0,0,0,0,1,5,18,15,323,1553
256,51,0,600,1,0,0,0,0,0,0,1,5,19,163,529,721
257,40,0,600,1,0,0,0,0,0,0,1,5,19,105,482,1135
258,56,0,700,1,0,0,0,0,0,0,1,5,19,69,453,704
259,42,0,111,1,0,2,0,0,0,0,1,5,20,71,407,10150
260,42,1,111,1,0,3,0,0,0,0,1,5,20,10000,10000,20000
261,42,1,111,1,0,1,0,0,0,0,1,5,20,0,10000,20000
262,40,0,700,6,0,0,0,0,0,0,1,5,20,178,773,917
263,35,0,113,0,1,0,0,0,0,0,1,5,20,161,549,1213
264,17,0,745,5,0,0,0,0,0,0,1,5,20,116,582,586
265,54,0,600,7,0,0,0,0,0,0,1,5,21,16,367,560
266,52,0,600,6,0,0,0,0,0,0,1,5,22,92,376,802
267,40,0,440,0,0,0,0,0,0,0,1,5,22,152,648,1805
268,27,0,111,1,3,1,0,0,0,0,1,6,0,0,354,7974
269,27,0,111,1,3,3,0,0,0,0,1,6,0,155,479,18134
270,17,0,424,0,0,0,3,0,0,0,1,6,1,54,562,1190
271,35,0,745,9,0,0,0,0,0,0,1,6,2,99,728,1560
272,27,0,111,18,0,1,0,0,0,0,1,6,3,122,558,3887
273,60,0,0,9,0,0,0,0,0,0,1,6,4,69,472,484
274,27,0,111,1,0,4,0,0,0,0,1,6,7,33,604,2804
275,1,0,651,32,0,0,0,0,0,0,1,6,8,114,613,1426
276,46,0,130,7,0,0,0,0,0,0,1,6,8,130,415,1312
277,60,0,745,1,0,0,0,0,0,0,1,6,8,429,989,1053
278,57,0,130,35,0,0,0,0,0,0,1,6,11,80,421,1695
279,1,0,745,2,0,0,0,0,0,0,1,6,11,116,332,399
280,17,0,444,6,0,0,0,0,0,0,1,6,12,31,257,514
281,57,0,150,1,0,0,0,0,0,0,1,6,13,46,283,418
282,41,0,111,1,0,3,0,0,0,0,1,6,13,97,300,7540
283,57,0,118,36,3,0,0,0,0,0,1,6,13,152,472,925
284,44,0,651,1,0,0,0,0,0,0,1,6,13,127,449,1531
285,9,0,745,1,0,0,0,0,0,0,1,6,15,127,925,1829
286,40,0,745,1,0,0,0,0,0,0,1,6,15,92,380,482
287,42,0,745,1,0,0,0,0,0,0,1,6,17,88,445,665
288,55,0,745,1,0,0,0,0,0,0,1,6,17,101,588,593
289,17,0,745,24,0,0,0,0,0,0,1,6,17,95,686,2688
290,57,0,651,14,0,0,0,0,0,0,1,6,18,186,559,1479
291,50,0,710,1,0,0,0,0,0,0,1,6,18,54,317,406
292,32,0,445,1,0,0,0,0,0,0,1,6,18,167,554,721
293,44,0,130,25,0,0,0,0,0,0,1,6,18,69,267,1978
294,54,0,600,1,0,0,0,0,0,0,1,6,19,100,476,815
295,40,0,111,1,0,5,0,0,0,0,1,6,19,53,260,8103
296,1,0,745,2,0,0,0,0,0,0,1,6,19,121,351,1186
297,60,0,131,6,0,0,0,0,0,0,1,6,19,75,308,975
298,35,0,600,6,0,0,0,0,0,0,1,6,20,181,409,669
299,32,0,411,1,0,0,0,0,0,0,1,6,22,322,603,1225
300,53,0,118,1,3,0,1,0,0,0,1,6,23,26,383,657
301,40,0,600,1,0,0,0,0,0,0,1,6,23,125,381,739
302,40,0,130,25,0,0,0,0,0,0,1,7,0,110,586,1988
303,57,0,600,25,0,0,0,0,0,0,1,7,0,103,478,706
304,53,0,111,1,0,4,0,0,0,0,1,7,1,96,457,6901
305,27,0,113,0,2,0,0,0,0,0,1,7,1,149,494,996
306,34,0,111,1,0,1,0,0,0,0,1,7,3,89,378,795
307,52,0,734,0,0,0,0,0,0,0,1,7,3,285,654,1154
308,9,0,421,9,0,0,0,0,0,0,1,7,3,10,1085,2221
309,9,0,745,0,0,0,0,0,0,0,1,7,3,169,631,717
310,42,0,111,17,0,2,0,0,0,0,1,7,4,104,511,8974
311,42,1,111,17,0,1,0,0,0,0,1,7,4,0,0,8970
312,17,0,444,6,0,0,0,0,0,0,1,7,6,26,618,1157
313,55,0,111,1,0,1,0,0,0,0,1,7,7,41,501,1892
314,42,0,111,1,0,4,0,0,0,0,1,7,7,99,520,2684
315,40,0,444,6,0,0,0,0,0,0,1,7,9,28,188,2082
316,50,0,441,1,0,0,0,0,0,0,1,7,9,70,248,564
317,40,1,251,1,0,0,0,0,0,0,1,7,10,0,0,0
318,40,0,111,1,0,1,0,0,0,0,1,7,10,81,365,5024
319,9,0,600,0,0,0,0,0,0,0,1,7,10,106,474,587
320,9,0,700,0,0,0,0,0,0,0,1,7,10,80,542,875
321,27,0,111,9,0,0,0,0,0,0,1,7,10,81,279,285
322,60,0,745,1,0,0,0,0,0,0,1,7,12,114,781,844
323,40,0,111,0,0,2,0,0,0,0,1,7,12,107,253,6788
324,42,0,600,1,0,0,0,0,0,0,1,7,12,119,596,1484
325,30,0,111,1,0,1,0,0,0,0,1,7,13,46,436,6852
326,60,0,111,1,0,5,0,0,0,0,1,7,13,34,235,2536
327,32,0,745,1,0,0,0,0,0,0,1,7,15,74,753,755
328,40,0,700,1,0,0,0,0,0,0,1,7,16,110,821,2243
329,42,0,111,1,0,1,0,0,0,0,1,7,16,80,524,5791
330,9,0,600,6,0,0,0,0,0,0,1,7,16,87,490,617
331,34,0,700,37,0,0,0,0,0,0,1,7,17,119,687,974
332,54,0,600,1,0,0,0,0,0,0,1,7,17,53,511,1088
333,58,0,111,1,0,1,0,0,0,0,1,7,17,90,345,4129
334,9,0,651,0,0,0,0,0,0,0,1,7,17,327,636,1258
335,46,0,700,1,0,0,0,0,0,0,1,7,18,92,443,712
336,33,0,111,9,0,0,0,0,0,0,1,7,20,153,494,893
337,48,0,411,1,0,0,0,0,0,0,1,7,21,47,330,1648
338,59,0,600,1,0,0,0,0,0,0,1,7,21,237,774,2053
339,46,0,111,1,0,2,0,0,0,0,1,7,22,151,411,4268
340,42,0,400,1,0,0,0,0,0,0,1,7,22,87,496,1339
341,60,0,111,1,0,2,0,0,0,0,1,7,22,124,383,1338
342,39,0,700,1,0,0,0,0,0,0,1,7,22,124,411,638
343,50,0,700,3,0,0,0,0,0,0,1,7,23,99,322,472
344,32,0,651,1,0,0,0,0,0,0,1,7,23,131,706,1006
345,17,0,600,0,0,0,0,0,0,0,1,7,23,154,468,711
346,60,0,111,1,0,1,0,0,0,0,1,8,0,0,389,4652
347,60,0,111,1,0,2,0,0,0,0,1,8,0,110,389,4652
348,51,0,421,1,0,0,0,0,0,0,1,8,1,115,596,1114
349,41,0,552,41,0,0,0,0,0,0,1,8,1,85,518,1495
350,9,0,111,0,0,2,0,0,0,0,1,8,2,103,341,8086
351,17,0,700,5,0,0,0,0,0,0,1,8,2,47,364,527
352,55,0,111,43,0,2,0,0,0,0,1,8,2,85,461,4080
353,59,0,111,1,1,1,0,0,0,0,1,8,3,145,452,1988
354,17,0,745,0,0,0,0,0,0,0,1,8,4,79,469,942
355,52,0,111,1,0,1,0,0,0,0,1,8,4,184,476,1062
356,52,0,745,44,0,0,0,0,0,0,1,8,6,110,527,744
357,9,0,444,9,0,0,0,0,0,0,1,8,6,124,383,539
358,34,0,118,1,1,0,0,0,0,0,1,8,7,184,494,1257
359,52,0,745,1,0,0,0,0,0,0,1,8,8,157,375,467
360,9,0,553,6,0,0,0,0,0,0,1,8,9,121,590,690
361,35,0,400,0,0,0,0,0,0,0,1,8,9,133,395,1599
362,59,0,130,6,0,0,0,0,0,0,1,8,9,156,569,1371
363,51,0,700,1,0,0,0,0,0,0,1,8,10,105,528,698
364,59,0,745,0,0,0,0,0,0,0,1,8,10,76,697,865
365,59,0,700,0,0,0,0,0,0,0,1,8,10,92,548,1878
366,60,0,100,1,0,0,0,0,0,0,1,8,10,150,363,2421
367,56,0,745,1,0,0,0,0,0,0,1,8,11,87,122,663
368,27,0,700,1,0,0,0,0,0,0,1,8,11,69,437,580
369,30,0,130,6,0,0,0,0,0,0,1,8,11,83,346,1448
370,39,0,745,39,0,0,0,0,0,0,1,8,11,19,199,424
371,41,0,111,1,0,1,0,0,0,0,1,8,12,112,301,3869
372,59,0,600,12,0,0,0,0,0,0,1,8,12,19,337,629
373,60,0,130,40,0,0,0,0,0,0,1,8,12,61,312,1056
374,27,0,745,2,0,0,0,0,0,0,1,8,13,138,795,888
375,55,0,600,1,0,0,0,0,0,0,1,8,13,544,943,1582
376,1,0,745,42,0,0,0,0,0,0,1,8,14,117,405,489
377,53,0,745,1,0,0,0,0,0,0,1,8,14,83,0,494
378,9,0,700,30,0,0,0,0,0,0,1,8,15,121,461,630
379,30,0,111,1,0,3,0,0,0,0,1,8,15,64,427,6629
380,42,0,745,10,0,0,0,0,0,0,1,8,16,97,660,1828
381,53,0,745,33,0,0,0,0,0,0,1,8,17,298,783,983
382,27,0,745,0,0,0,0,0,0,0,1,8,17,131,402,430
383,52,0,745,1,0,0,0,0,0,0,1,8,18,95,402,463
384,50,0,745,1,0,0,0,0,0,0,1,8,18,81,305,551
385,41,0,700,7,0,0,0,0,0,0,1,8,18,87,590,738
386,34,0,700,6,0,0,0,0,0,0,1,8,18,73,686,878
387,42,0,445,6,0,0,0,0,0,0,1,8,18,121,585,834
388,58,0,745,1,0,0,0,0,0,0,1,8,19,82,327,375
389,58,0,114,1,3,0,0,0,0,0,1,8,19,199,419,755
390,59,0,600,1,0,0,0,0,0,0,1,8,19,149,0,725
391,27,0,745,1,0,0,0,0,0,0,1,8,20,193,628,1722
392,9,0,700,45,0,0,0,0,0,0,1,8,20,10,425,654
393,35,0,600,25,0,0,0,0,0,0,1,8,20,240,667,1247
394,59,0,111,17,0,2,0,0,0,0,1,8,20,73,472,1714
395,17,0,700,22,0,0,0,0,0,0,1,8,21,64,487,787
396,30,0,111,6,0,0,0,0,0,0,1,8,22,202,623,732
397,40,0,600,1,0,0,0,0,0,0,1,8,22,41,229,300
398,27,0,745,38,0,0,0,0,0,0,1,8,22,99,553,686
